date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:09	5019/5019	---M--	200	added ('OK')	image/png	etag:%223dcfad262191c313ba28697eac02f70b%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:09	9156/9156	---M--	200	added ('OK')	image/png	etag:%22a5000056c5a378324828938f73a7cd4b%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:10	4754/4754	---M--	200	added ('OK')	image/png	etag:%22557607276280483b3bd6860d09b12b4b%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:10	8910/8910	---M--	200	added ('OK')	image/png	etag:%2212d332babc15ccd7e431136ab8d8600d%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:11	4895/4895	---M--	200	added ('OK')	image/png	etag:%2232b517c2706e569bee424577aadfc1c7%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:11	8232/8232	---M--	200	added ('OK')	image/png	etag:%221802d03c0ed40ac2baab92b3889a9e6d%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/egyptian/big/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:11	4932/4932	---M--	200	added ('OK')	image/png	etag:%229c0ff081e893be186670b1ca68de74f1%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/spartan/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:11	8896/8896	---M--	200	added ('OK')	image/png	etag:%22459d4fafb6d84228640a38cfeb9dacd7%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/hun/big/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:12	5428/5428	---M--	200	added ('OK')	image/png	etag:%22445fc2ef6ef5dfce711c4886dbaa9e5b%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/roman/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:12	9493/9493	---M--	200	added ('OK')	image/png	etag:%22a672aeef6d5d119a6e9e40ec1f5091bb%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g28.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/spartan/big/g28.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:12	5688/5688	---M--	200	added ('OK')	image/png	etag:%227021d3aaf3668801074b388bff75e1bc%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/teuton/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:13	8893/8893	---M--	200	added ('OK')	image/png	etag:%22c31e0f49f26f3a17b4e4cf1989fef1bd%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/roman/big/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:13	5557/5557	---M--	200	added ('OK')	image/png	etag:%222ad43dc8346475224a8ac4e338e4c64e%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/gaul/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:13	9892/9892	---M--	200	added ('OK')	image/png	etag:%22d7a0af19a1d720d8b9abc0f091abfdde%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/teuton/big/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:14	4836/4836	---M--	200	added ('OK')	image/png	etag:%22eabdf5a53e809f10929ce773f8154c9c%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/egyptian/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:14	9914/9914	---M--	200	added ('OK')	image/png	etag:%2272025854471ab640614a2f66f3056b94%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/g/buildings/gaul/big/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
22:43:14	5455/5455	---M--	200	added ('OK')	image/png	etag:%226cae9ade18b04426e82f40836a670b6e%22	http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g29.png	C:/Users/ward/Desktop/ts7.x1.international.travian.com/cdn.legends.travian.info/gpack/2022.5/travian_mainPage/img_ltr/themes/default/buildings/hun/g29.png	(from http://cdn.legends.travian.info/gpack/2022.5/travian_mainPage/css_ltr/default_compressed1.css)
